SSE_output_unit1,SSE_output_unit2,SSE_output_unit3,SSE_output_unit4,SSE_output_unit5,SSE_output_unit6,SSE_output_unit7,SSE_output_unit8
1.6897,1.8032,1.9824,1.6421,1.8561,1.9159,1.8639,1.8744
1.3660,1.4308,1.5391,1.3495,1.4736,1.5149,1.4853,1.4928
1.1844,1.2220,1.2882,1.1819,1.2551,1.2848,1.2666,1.2716
1.0793,1.1021,1.1451,1.0824,1.1277,1.1501,1.1377,1.1407
1.0157,1.0300,1.0601,1.0207,1.0504,1.0681,1.0587,1.0604
0.9756,0.9848,1.0073,0.9809,1.0015,1.0160,1.0082,1.0089
0.9491,0.9552,0.9730,0.9543,0.9693,0.9815,0.9747,0.9747
0.9312,0.9351,0.9498,0.9358,0.9472,0.9578,0.9517,0.9512
0.9186,0.9211,0.9337,0.9228,0.9317,0.9411,0.9354,0.9345
0.9095,0.9111,0.9222,0.9133,0.9206,0.9290,0.9236,0.9224
0.9029,0.9038,0.9138,0.9062,0.9123,0.9200,0.9148,0.9134
0.8980,0.8983,0.9075,0.9009,0.9061,0.9132,0.9082,0.9066
0.8942,0.8942,0.9027,0.8968,0.9013,0.9080,0.9031,0.9014
0.8913,0.8910,0.8990,0.8936,0.8976,0.9040,0.8991,0.8973
0.8891,0.8885,0.8962,0.8911,0.8947,0.9008,0.8960,0.8941
0.8874,0.8866,0.8939,0.8892,0.8924,0.8982,0.8935,0.8915
0.8860,0.8851,0.8921,0.8876,0.8906,0.8962,0.8915,0.8895
0.8848,0.8839,0.8906,0.8863,0.8891,0.8945,0.8899,0.8878
0.8840,0.8829,0.8895,0.8853,0.8878,0.8932,0.8885,0.8864
0.8832,0.8821,0.8885,0.8844,0.8868,0.8921,0.8874,0.8852
0.8826,0.8815,0.8877,0.8837,0.8860,0.8911,0.8865,0.8843
0.8822,0.8810,0.8871,0.8831,0.8853,0.8904,0.8857,0.8835
0.8818,0.8805,0.8865,0.8826,0.8847,0.8897,0.8851,0.8828
0.8814,0.8802,0.8861,0.8822,0.8842,0.8892,0.8845,0.8822
0.8812,0.8799,0.8857,0.8819,0.8838,0.8887,0.8840,0.8817
0.8809,0.8797,0.8854,0.8816,0.8834,0.8883,0.8836,0.8813
0.8808,0.8795,0.8851,0.8814,0.8831,0.8880,0.8833,0.8809
0.8806,0.8793,0.8849,0.8811,0.8828,0.8877,0.8830,0.8806
0.8805,0.8792,0.8847,0.8810,0.8826,0.8875,0.8827,0.8803
0.8804,0.8791,0.8845,0.8808,0.8823,0.8873,0.8825,0.8801
0.8803,0.8790,0.8844,0.8807,0.8822,0.8871,0.8823,0.8799
0.8802,0.8789,0.8843,0.8806,0.8820,0.8870,0.8821,0.8797
0.8801,0.8789,0.8842,0.8805,0.8818,0.8868,0.8819,0.8795
0.8800,0.8788,0.8841,0.8804,0.8817,0.8867,0.8818,0.8793
0.8800,0.8788,0.8840,0.8803,0.8816,0.8866,0.8817,0.8792
0.8799,0.8788,0.8840,0.8802,0.8815,0.8865,0.8816,0.8791
0.8799,0.8788,0.8839,0.8802,0.8814,0.8865,0.8815,0.8790
0.8799,0.8787,0.8838,0.8801,0.8813,0.8864,0.8814,0.8789
0.8798,0.8787,0.8838,0.8801,0.8812,0.8864,0.8813,0.8788
0.8798,0.8787,0.8838,0.8801,0.8811,0.8863,0.8812,0.8787
0.8798,0.8787,0.8837,0.8800,0.8811,0.8863,0.8811,0.8786
0.8798,0.8787,0.8837,0.8800,0.8810,0.8862,0.8811,0.8785
0.8797,0.8787,0.8837,0.8799,0.8809,0.8862,0.8810,0.8784
0.8797,0.8787,0.8837,0.8799,0.8809,0.8862,0.8810,0.8784
0.8797,0.8787,0.8836,0.8799,0.8808,0.8862,0.8809,0.8783
0.8797,0.8787,0.8836,0.8799,0.8808,0.8862,0.8809,0.8783
0.8797,0.8787,0.8836,0.8798,0.8807,0.8861,0.8808,0.8782
0.8796,0.8787,0.8836,0.8798,0.8806,0.8861,0.8808,0.8781
0.8796,0.8788,0.8836,0.8798,0.8806,0.8861,0.8807,0.8781
0.8796,0.8788,0.8836,0.8798,0.8805,0.8861,0.8807,0.8780
0.8796,0.8788,0.8836,0.8798,0.8805,0.8861,0.8807,0.8780
0.8796,0.8788,0.8835,0.8797,0.8804,0.8861,0.8806,0.8779
0.8796,0.8788,0.8835,0.8797,0.8804,0.8861,0.8806,0.8779
0.8796,0.8788,0.8835,0.8797,0.8804,0.8861,0.8806,0.8778
0.8795,0.8788,0.8835,0.8797,0.8803,0.8861,0.8805,0.8778
0.8795,0.8788,0.8835,0.8797,0.8803,0.8861,0.8805,0.8778
0.8795,0.8788,0.8835,0.8797,0.8802,0.8861,0.8805,0.8777
0.8795,0.8789,0.8835,0.8796,0.8802,0.8862,0.8804,0.8777
0.8795,0.8789,0.8835,0.8796,0.8801,0.8862,0.8804,0.8776
0.8795,0.8789,0.8835,0.8796,0.8801,0.8862,0.8804,0.8776
0.8794,0.8789,0.8835,0.8796,0.8801,0.8862,0.8804,0.8776
0.8794,0.8789,0.8835,0.8796,0.8800,0.8862,0.8803,0.8775
0.8794,0.8789,0.8835,0.8796,0.8800,0.8862,0.8803,0.8775
0.8794,0.8789,0.8835,0.8796,0.8799,0.8862,0.8803,0.8774
0.8794,0.8789,0.8835,0.8795,0.8799,0.8862,0.8803,0.8774
0.8794,0.8789,0.8835,0.8795,0.8798,0.8862,0.8802,0.8774
0.8793,0.8790,0.8835,0.8795,0.8798,0.8862,0.8802,0.8773
0.8793,0.8790,0.8835,0.8795,0.8798,0.8863,0.8802,0.8773
0.8793,0.8790,0.8835,0.8795,0.8797,0.8863,0.8802,0.8772
0.8793,0.8790,0.8835,0.8795,0.8797,0.8863,0.8801,0.8772
0.8793,0.8790,0.8835,0.8794,0.8796,0.8863,0.8801,0.8772
0.8792,0.8790,0.8835,0.8794,0.8796,0.8863,0.8801,0.8771
0.8792,0.8790,0.8835,0.8794,0.8795,0.8863,0.8801,0.8771
0.8792,0.8790,0.8835,0.8794,0.8795,0.8863,0.8801,0.8770
0.8792,0.8790,0.8834,0.8794,0.8795,0.8864,0.8800,0.8770
0.8792,0.8791,0.8834,0.8793,0.8794,0.8864,0.8800,0.8770
